,Draught Rate,ASHRAE Standard,ISO 7730 Standard,Date/Time
6584,43.047005142984105,X,X,3/14/2025 11:04
6585,21.76769097850346,X,Cat III,3/14/2025 11:04
6586,30.711791408206828,X,X,3/14/2025 11:04
6587,28.498468228199375,X,Cat III,3/14/2025 11:04
6588,23.39788272568597,X,Cat III,3/14/2025 11:04
6589,24.713135897272576,X,Cat III,3/14/2025 11:04
6590,34.58731696471819,X,X,3/14/2025 11:04
6591,43.30330588879358,X,X,3/14/2025 11:04
6592,35.58383406963546,X,X,3/14/2025 11:04
6593,31.083776407798645,X,X,3/14/2025 11:04
6605,31.330703279318303,X,X,3/14/2025 11:05
6606,41.66653976594754,X,X,3/14/2025 11:05
6607,35.52858403771266,X,X,3/14/2025 11:05
6608,31.784131772476073,X,X,3/14/2025 11:05
6609,20.8614368563146,X,Cat III,3/14/2025 11:05
6611,21.832402371803965,X,Cat III,3/14/2025 11:05
6612,31.334740833280758,X,X,3/14/2025 11:05
6613,36.51500062535414,X,X,3/14/2025 11:05
6614,37.30275136029909,X,X,3/14/2025 11:05
6615,29.94180822115957,X,Cat III,3/14/2025 11:05
6616,22.67353518866695,X,Cat III,3/14/2025 11:05
6629,41.0850361530443,X,X,3/14/2025 11:05
6630,38.34653152853343,X,X,3/14/2025 11:05
6632,36.39893673476201,X,X,3/14/2025 11:05
6633,38.43002058220254,X,X,3/14/2025 11:05
6634,22.45821992437995,X,Cat III,3/14/2025 11:05
6636,24.640250706112322,X,Cat III,3/14/2025 11:05
6637,27.38244303523757,X,Cat III,3/14/2025 11:05
6651,26.719556216151226,X,Cat III,3/14/2025 11:05
6652,29.674739337908832,X,Cat III,3/14/2025 11:05
6653,34.08378714911812,X,X,3/14/2025 11:05
6654,30.698839041748187,X,X,3/14/2025 11:05
6655,37.687469193181826,X,X,3/14/2025 11:05
6656,22.107399164713147,X,Cat III,3/14/2025 11:05
6657,26.88791491045914,X,Cat III,3/14/2025 11:05
6658,22.849118779862245,X,Cat III,3/14/2025 11:05
6659,31.751203423809038,X,X,3/14/2025 11:05
6661,20.13086786724816,X,Cat III,3/14/2025 11:06
6662,22.309878392585773,X,Cat III,3/14/2025 11:06
6673,37.936298488115874,X,X,3/14/2025 11:06
6674,28.119935800576084,X,Cat III,3/14/2025 11:06
6675,39.54786506843443,X,X,3/14/2025 11:06
6676,40.95124500893977,X,X,3/14/2025 11:06
6677,37.590024729467096,X,X,3/14/2025 11:06
6678,35.48701985914915,X,X,3/14/2025 11:06
6679,32.512907337464355,X,X,3/14/2025 11:06
6680,35.99417978391155,X,X,3/14/2025 11:06
6681,38.89920612784864,X,X,3/14/2025 11:06
6682,30.838358229694744,X,X,3/14/2025 11:06
6697,34.87476618239265,X,X,3/14/2025 11:06
6698,34.274668064057316,X,X,3/14/2025 11:06
6699,27.335364035392757,X,Cat III,3/14/2025 11:06
6701,24.30659958510572,X,Cat III,3/14/2025 11:06
6702,22.36232683640149,X,Cat III,3/14/2025 11:06
6703,38.559778425161554,X,X,3/14/2025 11:06
6704,33.62597364825973,X,X,3/14/2025 11:06
6705,37.762204790293445,X,X,3/14/2025 11:06
6706,27.829602381231908,X,Cat III,3/14/2025 11:06
6719,21.204937225363512,X,Cat III,3/14/2025 11:06
6721,21.87746883318638,X,Cat III,3/14/2025 11:07
6722,35.91857191349793,X,X,3/14/2025 11:07
